Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
JSB Public School,1730513,RAJASTHAN,SIKAR,Fatehpur ShekhawatiFatehpur Shekhawati,Fatehpur - Shekhawati,332301,"01571-222727
                        ,","01571-222727
                        ,",82305,82305,,jsb.dayalsingh@gmail.com,http://jsbpublicschool.com,2008,4/10/2008 12:00:00 AM,Mr.Dayal Singh Bijarnia,0,"B. Sc., M. A.(Eng.), B. Ed, M. A. Ed.",,5,8,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",J. S. Education & Research Samiti,
"Le mer Public School, Triprayar",930903,KERALA,THRISSUR,THRISSURVALAPAD,"Triprayar
P.O.Nattika
Thrissur",680566,"0487-2399979
                        ,","0487-2399979
                        ,",,,0487-239979,le_mer05@yahoo.com,http://www.lemerschool.in,2005,6/6/2005 12:00:00 AM,Dr. K.K MOHANAN,0,M.A;M.Phil;Ph.D,,7,25,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",PERSPECTIVE EDUCATIONAL TRUST,
Jayraji Devi Public School,2131316,uttar pradesh,SANT RAVIDAS NAGAR,JangiganjUnz,"G.T. Road, Jangiganj, Sant Ravidas Nagar Bhadohi-221310",221310,"05414-234918
                        ,","05414-234918
                        ,",256444,256444,,jdpublicschool@gmail.com,,2009,7/9/2009 12:00:00 AM,Bhagwati Sahay Sharma,1,"M.A.,B.Ed.,",,13,17,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Jayraji Devi Educational Trust,
kishori international school chirawa,1730479,RAJASTHAN,JHUNJHUNU,ChirawaChirawa,"kishori international school, near vijay gas service,pilani road chirawa",333026,"01596217338
                        ,","01596217338
                        ,",,,,kishoriinternational@yahoo.in,,2008,7/1/2009 12:00:00 AM,m.raja,0,"M.A,B.ed",,18,18,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Satyadev Shikshan Sansthan," kishori international school chirawa Affiliation Code:1730479 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:kishori international school, near vijay gas service,pilani road chirawa Phone Num: STD Code: PhNo: 01596217338 , Fax: City: 333026 Email:kishoriinternational@yahoo.in, Website: Courses of study offered: This school follows the CBSE curriculum"
"Lord Rama Public School, Bathinda",1630595,PUNJAB,BHATINDA,"BathindaCivil Lines,Bathinda","Lord Rama Public School, Bibi wala Road, Bathinda-151001",151001,"01642216121
                        ,","01642216121
                        ,",,,01642216121,msdschool@gmail.com,,2007,1/13/2007 12:00:00 AM,Suraj Setia,,"MA, B.Ed, MBA, BE, LLB, PGDIM, PGDHRM",,7,13,Senior Secondary,,"31/
                    3/
                    2015",S.S.D Mahabir Dal Education Board (Regd) Bathinda (pb),," Lord Rama Public School, Bathinda Affiliation Code:1630595 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Lord Rama Public School, Bibi wala Road, Bathinda-151001 Phone Num: STD Code: PhNo: 01642216121 , Fax: City: 151001 Email:msdschool@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
GYAN GANGA INTERNATIONAL SCHOOL,1630699,PUNJAB,SANGRUR,JAKHALMOONAK,"BALRAN, MOONAK, SANGRUR",148033,"01692252364
                        ,","01692252364
                        ,",325778,325778,,gyangangaschool@gmail.com,,2010,4/1/2010 12:00:00 AM,Mr.R.K. LYALL,1,"M.Sc, B.Ed",,2,16,Secondary School,Provisional,1/4/2015,31/3/2018,AGGARWAL EDUCATIONAL & WELFARE SOCIETY," GYAN GANGA INTERNATIONAL SCHOOL Affiliation Code:1630699 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:GYAN GANGA INTERNATIONAL SCHOOL Phone Num: STD Code: PhNo: 01692252364 , Fax: City: 148033 Email:gyangangaschool@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Shri Usha Mata Public School,1630596,PUNJAB,PATIALA,Nabha Railway StationSadar Thana Nabha,"Shri Usha Mata Public School ,Dulladi Gate Nabha.Dist-Patiala(Punjab)Pin-147201",147201,"9257270572
                        ,","9257270572
                        ,",,,,umps@indiatimes.com,,1996,4/1/1996 12:00:00 AM,Ramesh Kumar Dhar,0,"B.Sc,M.A(English),B.Ed",,6,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","Shiv Mandir Sudhar Committee(Regd),Nabha"," Shri Usha Mata Public School Affiliation Code:1630596 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Shri Usha Mata Public School ,Dulladi Gate Nabha.Dist-Patiala(Punjab)Pin-147201 Phone Num: STD Code:0181 PhNo: 9257270572 , Fax: City: 147201 Email:umps@indiatimes.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Guru Nanak Convent School,2131046,uttar pradesh,SAHAJANPUR,Shajahanpurbanda,Guru Nanak Convent School khutar Road Banda - 242402,242402,"05844-220608
                        ,","05844-220608
                        ,",,,,gurunanakconventschool@yahoo.com,,2000,4/2/2001 12:00:00 AM,Dheera Singh,,M.A. B.Ed,,10,10,Senior Secondary,,"31/
                    3/
                    2014",Guru Nanak Convent Educational Society,," Guru Nanak Convent School Affiliation Code:2131046 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Guru Nanak Convent School khutar Road Banda - 242402 Phone Num: STD Code: PhNo: 05844-220608 , Fax: City: 242402 Email:gurunanakconventschool@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Litera Valley Zee school,1130328,MAHARASHTRA,KOLHAPUR,HatkangaleHatkangale,"Survey no 1133, Ramling road At post Alate",416109,"02302487268
                        ,","02302487268
                        ,",,,02302426727,literavalley.ichi@gmail.com,,2009,6/14/2009 12:00:00 AM,Pamela Ghosh,0,M.A B.Ed,,10,7,Secondary School,Provisional,1/4/2014,31/3/2019,Vidya Vihar Education Society," Litera Valley Zee school Affiliation Code:1130328 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Litera Valley Zee School,Survey no 1133, Ramling road At post Alate Phone Num: STD Code: PhNo: 02302487268 , Fax: City: 416109 Email:literavalley.ichi@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"st. michael''s english medium school rambhata, raigarh, c. g. 496001",3330104,CHATTISGARH,RAIGARH,RAIGARHRAIGARH,"rambhata , raigarh p.o. 496001, ( c. g.) india",496001,"07762226523
                        ,","07762226523
                        ,",2758565,2758565,07762232151,michschrgh@yahoo.com,http://www.stmichsch.com,1999,7/1/1999 12:00:00 AM,ruben xalxo,1,"m.a., b.ed. b.th.",,12,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",catholic santhan raigarh dakhin purb parikshetra,
"DAV Public School, Rangamatia, Sindri",3430246,JHARKHAND,DHANBAD,Sindri TownSindri Police Station,"DAV Public School, Rangamatia, Sindri",828122,"0326-2350333
                        ,","0326-2350333
                        ,",,,0326-2350333,davpsindrirangamatia@rediffmail.com,,1999,6/21/1999 12:00:00 AM,Dr. D.K. Verma,,"M.Sc, PhD., B.Ed.",,10,27,Senior Secondary,,"31/
                    3/
                    2015",DAV College Trust and Management Society,," DAV Public School, Rangamatia, Sindri Affiliation Code:3430246 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:DAV Public School, Rangamatia, Sindri Phone Num: STD Code: PhNo: 0326-2350333 , Fax: City: 828122 Email:davpsindrirangamatia@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Aditya Public School,1030489,MADHYA PRADESH,MANDSAUR,MandsaurYashudarman,REWAS DEWRA ROAD MANSAUR (M.P),458001,"07422284000
                        ,","07422284000
                        ,",,,,navkrishnapatil@rediffmail.com,,2007,7/2/2007 12:00:00 AM,Shiv Kumar Mishra,0,"M.A,M.Ed",,7,36,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Merdian Education Samiti,
Green Land Convent School,2131029,uttar pradesh,AGRA,AchneraAchnera,"greenland convent school achnera, agra",283108,"05613-220662
                        ,","05613-220662
                        ,",09888531233,09888531233,0522-287032,greenlandconventschool_ach@yahoo.com,http://www.gcs.com,2004,7/1/2004 12:00:00 AM,subhash chandra,1,"M.A., B.Ed.",,3,7,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",Green land Convent Shikha Samit," Green Land Convent School Affiliation Code:2131029 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:greenland convent school achnera, agra Phone Num: STD Code: PhNo: 05613-220662 , Fax: City: 283108 Email:greenlandconventschool_ach@yahoo.com, Website:http://www.gcs.com Courses of study offered: This school follows the CBSE curriculum"
Tulip Public School,2131223,uttar pradesh,ETAH,EtahEtah,"Tulip Public School,Nidhauli Road,5-B,Aruna Nagar,Etah,U.P.",207001,"05742-238500
                        ,","05742-238500
                        ,",26710543,26710543,05742-234300,tulippublicschool@yahoo.com,,2009,4/1/2009 12:00:00 AM,Mrs. Bindu Jaiswal,2,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","Maitreya Education Society,Chandrakuti,Shikohabad Road,Etah"," Tulip Public School Affiliation Code:2131223 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Tulip Public School,Nidhauli Road,5-B,Aruna Nagar,Etah,U.P. Phone Num: STD Code: PhNo: 05742-238500 , Fax:26710543 City: 207001 Email:tulippublicschool@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Surajmal Modern Higher Secondary School,2131454,uttar pradesh,MEERUT,Sakoti TandaFalawda,SURAJMAL MODERN HIGHER SECONDARY SCHOOL,254001,"9319999907
                        ,","9319999907
                        ,",,,,directorgt@hotmail.com,http://www.smhss.in,2002,3/3/2007 12:00:00 AM,Ravindra Kumar,0,"B.Sc, B.Ed, M.A.",,1,3,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Surajmal Educational Walefare Trust," Surajmal Modern Higher Secondary School Affiliation Code:2131454 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SURAJMAL MODERN HIGHER SECONDARY SCHOOL Phone Num: STD Code: PhNo: 9319999907 , Fax: City: 254001 Email:directorgt@hotmail.com, Website:http://www.smhss.in Courses of study offered: This school follows the CBSE curriculum"
MARGADARSHAN CENTRAL SCHOOL.ILKAL,830475,KARNATAKA,BAGALKOT,"BAGALKOTPOLICE STATION,ILKAL","ILAKAL(TONDIHAL),GORABAL DIST. HUNGUND TALUK BAGALKOT",587125,"9980098555
                        ,","9980098555
                        ,",,,,metcbse123@gamil.com,,2007,6/13/2009 12:00:00 AM,Mrs.SHOBHA.G.SALIMATH,0,"BA,BEd",,10,10,Secondary School,Provisional,1/4/2016,31/3/2021,MARGADARSHAN EDUCATION TRUST," MARGADARSHAN CENTRAL SCHOOL.ILKAL Affiliation Code:830475 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MARGADARSHAN CENTRAL SCHOOL ,LKALILKAL TO HERUR ROADTq:Hungund Dt:Bagalkot Phone Num: STD Code: PhNo: 9980098555 , Fax: City: 587125 Email:metcbse123@gamil.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Pinewood School,2131135,uttar pradesh,JYOTIBA PHULE NAGAR,AmrohaAmroha Kotwali,"Pinewood School. Bijnor Road, Amroha",244221,"05922 260510
                        ,","05922 260510
                        ,",,,05922 260222,arjunvikram@rediffmail.com,,1999,4/1/1999 12:00:00 AM,Jyoti Suresh,,M.A. Bd,,6,15,Senior Secondary,,"31/
                    3/
                    2014",Jyoti Educational Society,," Pinewood School Affiliation Code:2131135 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Pinewood School. Bijnor Road, Amroha Phone Num: STD Code: PhNo: 05922 260510 , Fax: City: 244221 Email:arjunvikram@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Knights Internationa Public School,1630558,PUNJAB,SANGRUR,DhuriDhuri,"Knights International Public School, Allal Road, V & PO MULLOWAL  (Dhuri)",148024,"01675-217711
                        ,","01675-217711
                        ,",,,,kipsitians@gmail.com,,2007,4/2/2008 12:00:00 AM,S D Nair,,"M A, M Sc, B Ed",,10,24,Senior Secondary,,"31/
                    3/
                    2015",Shri Shri Mangesh Educational Society,," Knights Internationa Public School Affiliation Code:1630558 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Knights International Public School, Allal Road, V & PO MULLOWAL (Dhuri) Phone Num: STD Code: PhNo: 01675-217711 , Fax: City: 148024 Email:kipsitians@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
mahamaya vihar public school,2131208,uttar pradesh,BAREILLY,bareilly junction NRbaradari,"dohra lalpur road, bareilly",243001,"9219428288
                        ,","9219428288
                        ,",235990,235990,,suvratshakya@gmail.com,,2003,7/3/2003 12:00:00 AM,anju shakya,2,"M.A., B.Ed.",,8,12,Secondary School,Provisional,1/4/2014,31/3/2019,maha upasika kalyan samiti," mahamaya vihar public school Affiliation Code:2131208 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:mahamaya vihar public school, dohra lalpur road, bareilly Phone Num: STD Code: PhNo: 9219428288 , Fax: City: 243001 Email:suvratshakya@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SHIKSHA HIGH SCHOOL,1730393,RAJASTHAN,BIKANER,Bikaner JunctionVyas Colony,"Shiksha High School, 
Camel Farm Road, Shiv Bari, Bikaner, Rajasthan",334001,"0151-3295111
                        ,","0151-3295111
                        ,",,,,shiksha_high@yahoo.com,,2005,3/31/2005 12:00:00 AM,DR. D.K. Mishra,,"M.Sc., Ph.D., B.Ed.",,6,10,Senior Secondary,,"31/
                    3/
                    2014",INTEGRATED FOR HUMAN SERVICES SOCIETY,," SHIKSHA HIGH SCHOOL Affiliation Code:1730393 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Shiksha High School, Camel Farm Road, Shiv Bari, Bikaner, Rajasthan Phone Num: STD Code: PhNo: 0151-3295111 , Fax: City: 334001 Email:shiksha_high@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"Delhi Public School Bikaner, Bikaner",1730504,RAJASTHAN,BIKANER,Bikaner Railway StationVyas Police Station,"Delhi Public School Bikaner, Bikaner",334001,"o151-2233389, 09251499340, 09460965465
                        ,","o151-2233389, 09251499340, 09460965465
                        ,",0,0,0151-2233353,dpsbikaner@gmail.com,http://www.dpsbikaner.net,2009,7/1/2009 12:00:00 AM,Dr.R.P.Singh,2,"M.Sc., M.Ed., Ph.D",,12,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Knowledge Education Foundation," Delhi Public School Bikaner, Bikaner Affiliation Code:1730504 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Delhi Public School Bikaner, Bikaner Phone Num: STD Code:0376 PhNo: o151-2233389, 09251499340, 09460965465 , Fax: City: 334001 Email:dpsbikaner@gmail.com, Website:http://www.dpsbikaner.net Courses of study offered: This school follows the CBSE curriculum"
BHARATI VIDYAPEETH ENGLISH MEDIUM SCHOOL,1130237,MAHARASHTRA,THANE,CBD BELAPURCBD BELAPUR,SEC 3 C.B.D. NAVI MUMBAI. PIN 400614,400614,"02227572965
                        ,","02227572965
                        ,",0183-2451117,0183-2451117,27571182,bvhsnm@gmail.com,http://www.bharatividyapeeth.edu,1983,6/6/1983 12:00:00 AM,RASHMI TYAGI,2,"M.Sc., B.Ed.,Ph. D.",,5,10,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020","BHARATI VIDYAPEET, PUNE.",
MAHARANI KISHORI DEVI GIRLS SCHOOL,1730436,RAJASTHAN,BIKANER,"BIKANERJAI NARAYAN VYAS COLONY, BIKANER","NH-11, JAIPUR ROAD, BIKANER",334001,"0151-2110397
                        ,","0151-2110397
                        ,",01482264580,01482264580,2231654,mkdgsb@gmail.com,,2009,4/13/2009 12:00:00 AM,NISHA SHEORAN,1,"M.SC., B.ED.",,5,10,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",SURAJMAL MEMORIAL EDUACATION SOCIETY,
Assisi English Medium School,930956,KERALA,KANNUR,PayangadiPayangadi,"Neruvambram, Payangadi P.O., Kannur District",670303,"04972875860
                        ,","04972875860
                        ,",260410,260410,,elstho@gmail.com,,2003,6/3/2003 12:00:00 AM,MissAleyamma Thomas,0,"M.A. (Eng), B.Ed. (Soc. Sci)",,3,11,Secondary School,Provisional,1/4/2015,31/3/2020,"Kannur Diocesan Educational Trust, Kannur - 6"," Assisi English Medium School Affiliation Code:930956 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Assisi English Medium School, Neruvambram, Payangadi P.O., Kannur District Phone Num: STD Code:05452 PhNo: 04972875860 , Fax:260410 City: 670303 Email:elstho@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"Smt. Janki Devi Mandelia Co Educational Engish Medium School,Pilani",1730538,RAJASTHAN,JHUNJHUNU,Chirawa Railway StationPilani,"CHIRAWA, PILANI, JHUNJHUNU",333031,"01596-242233
                        ,","01596-242233
                        ,","23805387,9975181225","23805387,9975181225",,jpathak@mandelia.edu.in,http://www.mandelia.edu.in,2008,4/1/2008 12:00:00 AM,Mrs.Jaya Pathak,2,"M.Sc.(Home Science), B.Ed",,3,20,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017","Smt. Janki Devi Mandelia Home Science Educational Society,Pilani",
"K.L.E.SOCIETY'S SCHOOL,GOKAK.",830216,KARNATAKA,BELGAUM,GOKAK ROADTOWN POLICE STATION,"K.L.E.S.CAMPUS, MAIN ROAD,GOKAK, BELGAUM",591307,"08332-229504
                        ,","08332-229504
                        ,",28562544,28562544,,klesgokak@sancharnet.in,,2003,6/2/2003 12:00:00 AM,ANUPA DINESH KOWSHIK,2,M.A. B.Ed.,,04,08,Secondary School,Provisional,1/4/2013,31/3/2018,"KARNATAKA LINGAYAT EDUCATION SOCIETY,BELGAUM"," K.L.E.SOCIETY'S,SCHOOL,GOKAK. Affiliation Code:830216 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:K.L.E.SOCIETYS,SCHOOL,K.L.E.S.CAMPUS,MAIN ROAD,GOKAK. Phone Num: STD Code: PhNo: 08332-229504 , Fax:28562544 City: 591307 Email:klesgokak@sancharnet.in, Website: Courses of study offered: This school follows the CBSE curriculum"
School Chandan,830305,KARNATAKA,GADAG,YalavagiLaxmeshwar,"Laxmeshwar, Shirahatti Taluq, Gadag district, Karnataka.",582116,"08487-273160
                        ,","08487-273160
                        ,",,,-,chandanschool@yahoo.com,,1994,6/8/2003 12:00:00 AM,Chandrahas Patgar,0,"B.A., B.Ed",,7,7,Secondary School,Provisional,1/4/2014,31/3/2019,Chandan Education Society," School Chandan Affiliation Code:830305 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:School chandan, Laxmeshwar, Shirahatti Taluq, Gadag district, Karnataka. Phone Num: STD Code: PhNo: 08487-273160 , Fax: City: 582116 Email:chandanschool@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
times world school,3530346,UTTARANCHAL,DEHRADUN,dehradunindira nagar police chowki,school plot no. 1 indira nagar dehradun,248146,"01352761835
                        ,","01352761835
                        ,",,,01352761858,lalitsaxena.csm@gmail.com,http://www.timesworldschool.com,2007,4/2/2007 12:00:00 AM,Mrs.stella mesiil,0,"B.A,M.A,Bed",,10,18,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",adhunik shiksha prasar samiti," times world school Affiliation Code:3530346 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:school plot no. 1 indira nagar dehradun Phone Num: STD Code: PhNo: 01352761835 , Fax: City: 248146 Email:lalitsaxena.csm@gmail.com, Website:http://www.timesworldschool.com Courses of study offered: This school follows the CBSE curriculum"
"INDUS GLOBAL SCHOOL,",630155,HIMACHAL PRADESH,MANDI,ChandigarhSadar Mandi,"VILLAGE JARLI, PO DUDAR, GAGAL ROAD, SADAR MANDI,",175001,"01905 223577
                        ,","01905 223577
                        ,",,,,chandan.bhatia@yahoo.com,http://www.indusworldschool.com,2008,4/7/2008 12:00:00 AM,VIJAYALAKSHMI NAGARAJAN,0,"M Com, B Ed",,5,7,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Onam Educational Society,
NORTH-EX PUBLIC SCHOOL,2730655,DELHI,NORTH WEST DELHI,"NANGLOI,DELHIBEGUMPUR","SCHOOL BLOCK,JAIN NAGAR, ROHINI,DELHI",110085,"011-27582529
                        ,","011-27582529
                        ,",02602563152,02602563152,,northex38@rediffmail.com,,1993,4/1/1993 12:00:00 AM,MUNESH SHARMA,1,"M.A.,B.Ed.",,12,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",SHREE MAHAVIR JAIN SHIKSHA TRUST," GURU YOGIRAJ JAIN PUBLIC SCHOOL Affiliation Code:2730655 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SCHOOL BLOCK,JAIN NAGAR Phone Num: STD Code:0260 PhNo: 011-27582529 , Fax:02602563152 City: 110085 Email:northex38@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"D.A.V. PUBLIC SCHOOL,SEC-VI",3430244,JHARKHAND,BOKARO,Bokaro Steel CitySector-VI,"D.A.V. PUBLIC SCHOOL SEC-VI, BOKARO STEEL CITY - 827 006 (JHARKHAND)",827006,"06542 276894
                        ,","06542 276894
                        ,",,,06542 276894,bokarodav6@rediffmail.com,,1993,4/1/1993 12:00:00 AM,SNEHA J. KULKARNI,0,"B.Sc., B.Ed.",,12,21,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016","DAV College Managing Comittee,New Delhi"," D.A.V. PUBLIC SCHOOL,SEC-VI Affiliation Code:3430244 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:D.A.V. PUBLIC SCHOOL SEC-VI, BOKARO STEEL CITY - 827 006 (JHARKHAND) Phone Num: STD Code: PhNo: 06542 276894 , Fax: City: 827006 Email:bokarodav6@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
The Pacific International Public School Gwalior,1030575,MADHYA PRADESH,GWALIOR,GwaliorKampoo,The Pacific International Public School Village Veerpur District Gwalior M.P.,474001,"07512469000
                        ,","07512469000
                        ,",------,------,07512469000,thepacificinternationalpublics@gmail.com,,2009,7/1/2009 12:00:00 AM,Thomas Sebastine,1,"M.A. , B.ed.",,20,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",SG Education Society Gwalior M.P.," The Pacific International Public School Gwalior Affiliation Code:1030575 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:The Pacific International Public School Village Veerpur District Gwalior M.P. Phone Num: STD Code: PhNo: 07512469000 , Fax: City: 474001 Email:thepacificinternationalpublics@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Anand Niketan School,430168,GUJARAT,MEHSANA,Mehsana JunctionMoti Dao,"Mehsana, Mehsana Unjha Highway, Moti Dau Village, Dist. Mehsana",384121,"09924200024
                        ,","09924200024
                        ,",06767-248116,06767-248116,,devendersoni@gmail.com,,2009,4/2/2009 12:00:00 AM,Mrs.Purva Shukla,1,"M.A., B.ed",,5,5,Secondary School,Provisional,1/4/2015,31/3/2017,SARJAN FOUNDATION," Anand Niketan School Mehsana Affiliation Code:430168 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Anand Niketan School Mehsana, Mehsana Unjha Highway, Moti Dau Village, Dist. Mehsana Phone Num: STD Code: PhNo: 09924200024 , Fax: City: 384121 Email:devendersoni@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"Baba Aapo Aap Guru Nanak Public School,",1630805,PUNJAB,PATIALA,ChhintanwalaChhintanwala,"Chhintanwala Mansoorpur, Nabha Patiala Punjab",147201,"9316123430
                        ,","9316123430
                        ,",,,,baags.principal@gmail.com,,2012,4/9/2012 12:00:00 AM,Mr.Sandeep Sharma,1,"B.sc,B.ed",,3,10,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Aapo Aap Educational Society,
Shanti Asiatic School,430157,GUJARAT,AHMEDABAD,AhmedabadSanand,"Shanti Asiatic School, Opp, Vraj Gardens, Off 200 Ft Ring Road, Shela, Bopal, Ahmedabad- 380058",380058,"91 9099079808-09
                        ,","91 9099079808-09
                        ,",,,079 26768656,principal@shantiasiatic.com,http://www.shantiasiatic.com,2009,6/15/2009 12:00:00 AM,Anita Verma,0,"M.Sc, B.Ed, PGDGC",,11,17,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Chiripal Charitable Trust," Shanti Asiatic School Affiliation Code:430157 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Shanti Asiatic School, Opp, Vraj Gardens, Off 200 Ft Ring Road, Shela, Bopal, Ahmedabad- 380058 Phone Num: STD Code: PhNo: 91 9099079808-09 , Fax: City: 380058 Email:principal@shantiasiatic.com, Website:http://www.shantiasiatic.com Courses of study offered: This school follows the CBSE curriculum"
SHAHEED BHAGAT SINGH CONVENT SCHOOL,1730475,RAJASTHAN,JAIPUR,ASHALPUR(JOBNER)JOBNER,"HINGONIA (JOBNER), JHOTWARA, JAIPUR",303328,"01424230519
                        ,","01424230519
                        ,",2456052,2456052,01424230520,sbschooljpr@gmail.com,www.sbsschool.net,2003,7/1/2007 12:00:00 AM,ABHISHEK BHARDWAJ,0,"B.Sc., B.Ed.",,10,5,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",SHAHEED BHAGAT SINGH RESEARCH & DEVELOPMENT INSTITUTE,
Chate School,1130202,MAHARASHTRA,AURANGABAD,AurangabadUsmanpura,Gut no 98 Satara Parisar Aurangabad,431005,"0240-2473001
                        ,","0240-2473001
                        ,",,,0240-2473015,chateschool@gmail.com,http://www.chateschool.com/,2003,6/15/2003 12:00:00 AM,Dhule Subhash Sadashiv,0,Msc.B.Ed,,20,32,Secondary School,Provisional,1/4/2012,31/3/2017,"Shri Bhaskaracharya Pratisthan,Aurangabad"," Chate School Affiliation Code:1130202 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Chate School, Gut no 98 Satara Parisar Aurangabad Phone Num: STD Code: PhNo: 0240-2473001 , Fax: City: 431005 Email:chateschool@gmail.com, Website:http://www.chateschool.com/ Courses of study offered: This school follows the CBSE curriculum"
